"queryDate","timeZone","underlying","symbol","expiryDate","strikePrice","side","interval","openTimeUtc","openTimeLocal","open","high","low","close","volume","closeTimeUtc","closeTimeLocal","quoteVolume","numberOfTrades","takerBuyVolume","takerBuyQuoteVolume"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 04:30:00","2026-07-19 12:30:00","4785.000","4785.000","4785.000","4785.000","0.01","2026-07-19 04:44:59","2026-07-19 12:44:59","47.85000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 04:45:00","2026-07-19 12:45:00","4775.000","4775.000","4770.000","4770.000","0.02","2026-07-19 04:59:59","2026-07-19 12:59:59","95.45000","2","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 05:00:00","2026-07-19 13:00:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 05:14:59","2026-07-19 13:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 05:15:00","2026-07-19 13:15:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 05:29:59","2026-07-19 13:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 05:30:00","2026-07-19 13:30:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 05:44:59","2026-07-19 13:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 05:45:00","2026-07-19 13:45:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 05:59:59","2026-07-19 13:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 06:00:00","2026-07-19 14:00:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 06:14:59","2026-07-19 14:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 06:15:00","2026-07-19 14:15:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 06:29:59","2026-07-19 14:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 06:30:00","2026-07-19 14:30:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 06:44:59","2026-07-19 14:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260719-60000-C","2026-07-19","60000","CALL","15m","2026-07-19 06:45:00","2026-07-19 14:45:00","4770.000","4770.000","4770.000","4770.000","0.00","2026-07-19 06:59:59","2026-07-19 14:59:59","0.00000","0","0.00","0.00000"
