"queryDate","timeZone","underlying","symbol","expiryDate","strikePrice","side","interval","openTimeUtc","openTimeLocal","open","high","low","close","volume","closeTimeUtc","closeTimeLocal","quoteVolume","numberOfTrades","takerBuyVolume","takerBuyQuoteVolume"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 08:00:00","2026-08-03 16:00:00","50.000","85.000","50.000","85.000","5.83","2026-08-03 08:59:59","2026-08-03 16:59:59","394.30000","7","2.81","226.75000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 09:00:00","2026-08-03 17:00:00","70.000","70.000","65.000","65.000","0.27","2026-08-03 09:59:59","2026-08-03 17:59:59","17.60000","3","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 10:00:00","2026-08-03 18:00:00","50.000","50.000","50.000","50.000","0.37","2026-08-03 10:59:59","2026-08-03 18:59:59","18.50000","3","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 11:00:00","2026-08-03 19:00:00","50.000","50.000","50.000","50.000","0.01","2026-08-03 11:59:59","2026-08-03 19:59:59","0.50000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 12:00:00","2026-08-03 20:00:00","60.000","60.000","60.000","60.000","0.01","2026-08-03 12:59:59","2026-08-03 20:59:59","0.60000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 13:00:00","2026-08-03 21:00:00","50.000","50.000","50.000","50.000","0.56","2026-08-03 13:59:59","2026-08-03 21:59:59","28.00000","2","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 14:00:00","2026-08-03 22:00:00","20.000","20.000","20.000","20.000","0.02","2026-08-03 14:59:59","2026-08-03 22:59:59","0.40000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 15:00:00","2026-08-03 23:00:00","20.000","20.000","20.000","20.000","0.00","2026-08-03 15:59:59","2026-08-03 23:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 16:00:00","2026-08-04 00:00:00","20.000","20.000","20.000","20.000","0.00","2026-08-03 16:59:59","2026-08-04 00:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260806-59000-P","2026-08-06","59000","PUT","1h","2026-08-03 17:00:00","2026-08-04 01:00:00","25.000","25.000","25.000","25.000","0.06","2026-08-03 17:59:59","2026-08-04 01:59:59","1.50000","1","0.06","1.50000"
