"queryDate","timeZone","underlying","symbol","expiryDate","strikePrice","side","interval","openTimeUtc","openTimeLocal","open","high","low","close","volume","closeTimeUtc","closeTimeLocal","quoteVolume","numberOfTrades","takerBuyVolume","takerBuyQuoteVolume"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 10:30:00","2026-08-26 18:30:00","7090.000","7090.000","6670.000","6670.000","0.08","2026-08-26 10:44:59","2026-08-26 18:44:59","550.40000","2","0.08","550.40000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 10:45:00","2026-08-26 18:45:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 10:59:59","2026-08-26 18:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 11:00:00","2026-08-26 19:00:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 11:14:59","2026-08-26 19:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 11:15:00","2026-08-26 19:15:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 11:29:59","2026-08-26 19:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 11:30:00","2026-08-26 19:30:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 11:44:59","2026-08-26 19:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 11:45:00","2026-08-26 19:45:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 11:59:59","2026-08-26 19:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 12:00:00","2026-08-26 20:00:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 12:14:59","2026-08-26 20:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 12:15:00","2026-08-26 20:15:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 12:29:59","2026-08-26 20:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 12:30:00","2026-08-26 20:30:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 12:44:59","2026-08-26 20:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 12:45:00","2026-08-26 20:45:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 12:59:59","2026-08-26 20:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 13:00:00","2026-08-26 21:00:00","6670.000","6670.000","6670.000","6670.000","0.00","2026-08-26 13:14:59","2026-08-26 21:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 13:15:00","2026-08-26 21:15:00","6475.000","6475.000","6475.000","6475.000","0.01","2026-08-26 13:29:59","2026-08-26 21:29:59","64.75000","1","0.01","64.75000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 13:30:00","2026-08-26 21:30:00","6475.000","6475.000","6475.000","6475.000","0.00","2026-08-26 13:44:59","2026-08-26 21:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 13:45:00","2026-08-26 21:45:00","6475.000","6475.000","6475.000","6475.000","0.00","2026-08-26 13:59:59","2026-08-26 21:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 14:00:00","2026-08-26 22:00:00","6475.000","6475.000","6475.000","6475.000","0.00","2026-08-26 14:14:59","2026-08-26 22:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260827-72000-C","2026-08-27","72000","CALL","15m","2026-08-26 14:15:00","2026-08-26 22:15:00","6275.000","6275.000","6275.000","6275.000","0.08","2026-08-26 14:29:59","2026-08-26 22:29:59","502.00000","1","0.00","0.00000"
